Date,Description,Amount,Target_Account
,BOOKING.COM AMSTERDAM NLD,,4402
,Supplemento CHF all'estero,,6700
,Rettifica supplemento CHF all'estero,,2070
,AMZN Mktp IT*H71NO1AO5 AMAZON.IT LUX,,6500
,AMZN Mktp IT AMAZON.IT LUX,,2070
,BAR OASI LUGANO,,6650
,HubSpot Germany GmbH Berlin DEU,,6660
,ZOOM.US 888-799-9666 WWW.ZOOM.US USA,,6660
,HANAMI SUSHI & PIZZERIA CAMPIONE D'ITITA,,6650
,MCDONALDS PAZZALLO,,6650
,SendinBlue Paris FRA,,6660
,OPENAI *CHATGPT SUBSCR HTTPSOPENAI.CUSA,,6660
,FACEBK* DUBLIN IRL,,6600
,City Bistro Manno Manno,,5880
,Trattoria Anema e Core Viganello,,6650
,GPT BUILDER TOOLS SYDNEY AUS,,6660
,Supplemento CHF all'estero,,6700
,BOOKING.COM AMSTERDAM NLD,,4402
,HubSpot Germany GmbH Berlin DEU,,6660
,SendinBlue Paris FRA,,6660
,Osteria Movie Taverne,,6650
,CP Immobiliare SA Taverne,,6650
,MCDONALDS PAZZALLO,,6650
,OPENAI *CHATGPT SUBSCR HTTPSOPENAI.CUSA,,6660
,GPT BUILDER TOOLS SYDNEY AUS,,6660
,Rist. Michelangelo Massagno,,6650
,Hotel Morgana Mendrisio,,4402
,ANTICO GROTTO TICINO MENDRISIO,,4402
,Risto. Pizzeria Centro Massagno,,4402
,Ristorante Anacapri Lugano,,6650
,Hotel Morgana Mendrisio,,4402
,HOTEL-MORGANA MENDRISIO,,4402
,HubSpot Germany GmbH Berlin DEU,,6660
,Supplemento CHF all'estero,,6700
,AMZN Mktp IT*T915F7HT4 AMAZON.IT LUX,,6500
,SendinBlue Paris FRA,,6660
,OPENAI *CHATGPT SUBSCR HTTPSOPENAI.CUSACA,,6660
,HubSpot Germany GmbH Berlin DEU,,6660
,Supplemento CHF all'estero,,6700
,AMZN Mktp IT*OK6OV6LT5 AMAZON.IT LUX (Carta pergamena),,6500
,SendinBlue Paris FRA,,6660
,Hotel Morgana Mendrisio,,4402
,GOOGLE*ADS1116193490 CC GOOGLE.COMIRL Pubblicita,,6600
,FACEBK *PSRGUX3MN2 DUBLIN IRL Pubblicita,,6600
,FACEBK *L39BMXPMN2 DUBLIN IRL Pubblicita,,6600
,FACEBK *4KFBMXPMN2 DUBLIN IRL Pubblicita,,6600
,FACEBK *2637DY3MN2 DUBLIN IRL Pubblicita,,6600
,GOOGLE *AD51116193490 cc@google.comIRL Pubblicita,,6600
,GOOGLE*AD51116193490 CC GOOGLE.COMIRL Pubblicita,,6600
,FACEBK *SE9GV77MN2 DUBLIN IRL Pubblicita,,6600
,RISTORANTE IL TAVOLINO MILANO ITA,,5890
,DUOMO S. BABILA M1 MILANO ITA,,5890
,ATM CENTRALE MILANO ITA,,5890
,DUOMO S. BABILA M1 MILANO ITA,,5890
,POSTOLOGY MILANO ITA,,5890
,PIRELLI 9 MILANO ITA,,5890
,GOOGLE*AD51116193490 CC GOOGLE.COMIRL Pubblicita,,6600
,STFGROUND HOSTING MADRID ESP,,6660
,STFGROUND HOSTING MADRID ESP,,2070
,GOOGLE *AD51116193490 cc@google.comIRL,,6600
,STFGROUND HOSTING MADRID ESP,,6660
,STFGROUND HOSTING MADRID ESP,,2070
,FACEBK *VJ6MYZTMN2 DUBLIN IRL Pubblicita,,6600
,Supplemento CHF all'estero,,6700
,AMZN Mktp IT*PG7SR9LW5 AMAZON.IT LUX Buoni libri Bias,,4430
,Supplemento CHF all'estero,,6700
,FACEBK *MHQN52UMN2 DUBLIN IRL Pubblicita,,6600
,AMZN Mktp IT*1G27I2U5 AMAZON.IT LUX Buoni libri Bias,,4430
,GOOGLE*AD51116193490CCGCOGLE.COMIRLPubblicita,,6600
,Citta di Lugano Pregassona,,5820
,FACEBK *EFGNQ3GMN2DUBLINIRLPubblicita,,6600
,FACEBK *C872P4CMN2DUBLINIRLPubblicita,,6600
,SITEGROUND HOSTINGMADRIDESPDiversi servizi commerciali,,6660
,GOOGLE *ADS1116193490 cc@google.comIRL,,6600
,www.smallinvoice.com Kehrsatz,,6660
,FACEBK *JRH4248MN2 fb.me/ads IRL,,6600
,FACEBK* fb.me/ads IRL,,6600
,GOOGLE *ADS1116193490 cc@google.comIRL,,6600
,www.smallinvoice.com Kehrsatz,,6660
,FACEBK *PEH7Y5GMN2 fb.me/ads IRL,,6600
,FACEBK *ZE4AL58MN2 fb.me/ads IRL,,6600
,FACEBK *HJGP76LMN2 fb.me/ads IRL,,6600
,VMO*Vimeo PRO 646-490-1679 USA,,6660
,Interessi debitori,,6800
,GOOGLE *ADS1116193490 cc@google.comIRL,,6600
,www.smallinvoice.com Kehrsatz,,6660
,FACEBK *CBXLE7GMN2 fb.me/ads IRL,,6600
,Amazon.it*PQ57W63E5 www.amazon.itLUX Buoni libri FSEA,,4430
,FACEBK *BKKWS7YMN2 fb.me/ads IRL,,6600
,FACEBK *G5ESS7GMN2 fb.me/ads IRL,,6600
,GOOGLE *ADS1116193490 cc@google.comIRL,,6600
,GOOGLE *ADS1116193490 cc@google.comIRL,,6600
,www.smallinvoice.com Kehrsatz,,6660
,GOOGLE *ADS1116193490 cc@google.comIRL,,6600
,www.smallinvoice.com Kehrsatz,,6660
,SITEGROUND HOSTING MADRID ESP,,6660
,SITEGROUND HOSTING MADRID ESP,,6660
,Supplemento CHF all'estero,,6700
,AMZN Mktp IT*884361QL5 AMAZON.IT LUX Libri FSEA,,4430
,FACEBK *AWLHCCCMN2 fb.me/ads IRL,,6600
,FACEBK *43XPEBLMN2 DUBLIN IRL,,6600
,FACEBK *C28YHCCMN2 fb.me/ads IRL,,6600
,SITEGROUND HOSTING MADRID ESP,,6660
,FACEBK *YSKPUA8MN2 fb.me/ads IRL,,6600
,FACEBK *UYAXWAQMN2 fb.me/ads IRL,,6600
,FACEBK *XY9ABBUMN2 fb.me/ads IRL,,6600
,SITEGROUND HOSTING MADRID ESP,,6660
,Vistaprint B.V. Venlo NLD,,6500
,City Bistro Manno Manno,,5880
,www.smallinvoice.com Kehrsatz,,6660
,GOOGLE*ADS1116193490 CC GOOGLE.COMIRL,,6600
,FACEBK *BEVFNDYMN2 fb.me/ads IRL,,6600
,SITEGROUND HOSTING MADRID ESP,,6660
,Brico Centro Fai da te Manno,,6500
,Supplemento CHF all'estero,,6700
,"AMZN Mktp IT*TR4M49J34 AMAZON.IT LUX (serratura, portacarta, portasapone)",,6500
,Supplemento CHF all'estero,,6700
,Supplemento CHF all'estero,,6700
,AMZN Mktp IT*TR7CX6E34 AMAZON.IT LUX Scheda audio,,6500
,AMZN Mktp DE*TR5LR4G24 AMAZON.DE LUX,,6500
,GOOGLE *ADS1116193490 cc@google.comIRL,,6600
,www.smallinvoice.com Kehrsatz,,6660
,Rist. Michelangelo Massagno,,6650
,TACCO ESPRESSO ALE LAVENA PONTE ITA,,6500
,FACEBK *PKZPHEQMN2 Dublin IRL,,6600
,Schnitzy S.Ac Massagno,,6650
,GOOGLE*ADS1116193490 CC GOOGLE.COMIRL,,6600
,Tassa annua carta di credito,,6800
,GOOGLE*ADS1116193490 CC GOOGLE.COMIRL,,6600
,www.smallinvoice.com Kehrsatz,,6660
,FACEBK *PYVSFG8MN2 Dublin IRL,,6600
,TRACKCC TRACKCC.ORG USAWA,,6660
,Supplemento CHF all'estero,,6700
,Supplemento CHF all'estero,,6700
,Supplemento CHF all'estero,,6700
,AMZN Mktp IT*CD1H38QK5 AMAZON.IT LUX,,6500
,AMZN Mktp IT*NW22I78J5 AMAZON.IT LUX,,6500
,AMZN Mktp IT*XJ15T4ZP5 AMAZON.IT LUX (sbagliato),,6500
,FACEBK *NWE6XGGMN2 fb.me/ads IRL,,6600
,FACEBK *DCQFJG4MN2 fb.me/ads IRL,,6600
,Marketing Gastronomia S. Antonino,,6500
,"Otto's AG 115, Bioggio Bioggio",,6500
,Da Moreno SA Gravesano,,6500
,"Otto's AG 115, Bioggio Bioggio",,6500
,PODBEAN.COM PODBEAN.COM USANV Podcast,,6600
,GOOGLE*ADS1116193490 CC GOOGLE.COMIRL,,6600
